Generation,Fitness Total,Mean,Best
0,49.31,49.31,66.67
1,54.56,54.56,66.67
2,57.91,57.91,72.22
3,60.76,60.76,72.22
4,64.48,64.48,74.07
5,66.48,66.48,77.78
6,70.02,70.02,79.63
7,72.33,72.33,83.33
8,73.85,73.85,85.19
9,76.24,76.24,88.89
10,78.89,78.89,88.89
11,82.00,82.00,90.74
12,83.02,83.02,90.74
13,83.81,83.81,94.44
14,84.43,84.43,92.59
15,84.72,84.72,92.59
16,84.65,84.65,90.74
17,84.54,84.54,94.44
18,84.52,84.52,92.59
19,84.52,84.52,92.59
20,84.11,84.11,92.59
21,84.56,84.56,94.44
22,84.61,84.61,94.44
23,86.00,86.00,92.59
24,85.91,85.91,92.59
25,85.65,85.65,90.74
26,85.37,85.37,92.59
27,84.54,84.54,92.59
28,85.52,85.52,92.59
29,85.48,85.48,94.44
30,85.61,85.61,94.44
31,85.26,85.26,94.44
32,85.48,85.48,94.44
33,86.11,86.11,94.44
34,85.81,85.81,94.44
35,87.06,87.06,92.59
36,87.06,87.06,94.44
37,87.70,87.70,94.44
38,87.35,87.35,94.44
39,87.26,87.26,94.44
40,86.07,86.07,92.59
41,86.15,86.15,92.59
42,85.26,85.26,92.59
43,84.83,84.83,92.59
44,84.28,84.28,94.44
45,84.59,84.59,92.59
46,85.48,85.48,94.44
47,85.39,85.39,92.59
48,86.59,86.59,92.59
49,86.20,86.20,92.59
50,85.93,85.93,92.59
51,87.33,87.33,94.44
52,87.78,87.78,96.30
53,88.04,88.04,94.44
54,88.39,88.39,96.30
55,88.07,88.07,96.30
56,87.61,87.61,92.59
57,87.15,87.15,94.44
58,87.22,87.22,94.44
59,86.59,86.59,92.59
60,87.02,87.02,94.44
61,86.24,86.24,94.44
62,86.59,86.59,96.30
63,86.80,86.80,96.30
64,87.07,87.07,94.44
65,87.00,87.00,94.44
66,87.13,87.13,96.30
67,87.20,87.20,96.30
68,87.37,87.37,94.44
69,86.80,86.80,94.44
70,86.63,86.63,92.59
71,86.30,86.30,96.30
72,86.22,86.22,92.59
73,86.48,86.48,94.44
74,86.69,86.69,92.59
75,86.63,86.63,94.44
76,87.43,87.43,94.44
77,87.80,87.80,94.44
78,87.87,87.87,96.30
79,88.06,88.06,94.44
80,87.37,87.37,94.44
81,87.06,87.06,94.44
82,86.70,86.70,92.59
83,86.89,86.89,94.44
84,87.30,87.30,96.30
85,87.37,87.37,94.44
86,87.24,87.24,94.44
87,86.93,86.93,94.44
88,86.91,86.91,96.30
89,87.09,87.09,96.30
90,87.59,87.59,94.44
91,87.02,87.02,94.44
92,88.15,88.15,96.30
93,88.19,88.19,96.30
94,87.41,87.41,96.30
95,87.67,87.67,96.30
96,87.28,87.28,94.44
97,87.06,87.06,94.44
98,87.15,87.15,96.30
99,88.63,88.63,96.30
